NODE_ID;PROMINENCY_LABEL;PROMINENCY_WEIGHT;PROMINENCY_PURITY;RECIPROCITY_LABEL;RECIPROCITY_WEIGHT;RECIPROCITY_PURITY
1;StronglyProminent;1,06140350877193;0,00931055709449061;NonReciprocal;0;0
2;StronglyProminent;0,746268656716418;0,00556916907997327;NonReciprocal;0;0
3;StronglyProminent;0,128;0,001024;NonReciprocal;0;0
4;StronglyProminent;2,98870056497175;0,0168853139263941;NonReciprocal;0;0
5;StronglyProminent;0,09;0,0009;NonReciprocal;0;0
6;StronglyProminent;0,0833333333333333;0,000771604938271605;NonReciprocal;0;0
7;StronglyProminent;0,283464566929134;0,00223200446400893;NonReciprocal;0;0
8;WeaklyProminent;0,145454545454545;0,00632411067193676;NonReciprocal;0;0
9;WeaklyProminent;0,0166666666666667;0,000520833333333333;NonReciprocal;0;0
10;StronglyProminent;2,70391061452514;0,0151056458912019;NonReciprocal;0;0
11;StronglyProminent;2,31410256410256;0,0148339907955293;NonReciprocal;0;0
12;StronglyProminent;1,28947368421053;0,00848337950138504;NonReciprocal;0;0
13;StronglyProminent;0,146788990825688;0,0013466879892265;NonReciprocal;0;0
14;StronglyProminent;1,97945205479452;0,0135578907862638;NonReciprocal;0;0
15;StronglyProminent;4,53179190751445;0,0261953289451702;NonReciprocal;0;0
16;StronglyProminent;0,0112359550561798;0,000126246686024492;NonReciprocal;0;0
17;StronglyProminent;0,09;0,0009;NonReciprocal;0;0
18;StronglyProminent;0,0087719298245614;7,69467528470299E-05;NonReciprocal;0;0
19;StronglyProminent;1,58450704225352;0,01115850029756;NonReciprocal;0;0
20;StronglyProminent;1,6198347107438;0,0133870637251554;NonReciprocal;0;0
21;StronglyProminent;0,520325203252033;0,00423028620530108;NonReciprocal;0;0
22;StronglyProminent;0,0731707317073171;0,000594883997620464;NonReciprocal;0;0
23;StronglyProminent;0,227272727272727;0,00206611570247934;NonReciprocal;0;0
24;StronglyProminent;0,0363636363636364;0,000330578512396694;NonReciprocal;0;0
25;StronglyProminent;0,595238095238095;0,014172335600907;NonReciprocal;0;0
26;NonProminent;0;0;NonReciprocal;0;0
27;StronglyProminent;0,968;0,007744;NonReciprocal;0;0
28;StronglyProminent;0,699300699300699;0,00489021468042447;NonReciprocal;0;0
29;StronglyProminent;1,59006211180124;0,00987616218510088;NonReciprocal;0;0
30;StronglyProminent;1,66233766233766;0,01079440040479;NonReciprocal;0;0
31;StronglyProminent;2,95973154362416;0,0198639700914373;NonReciprocal;0;0
32;StronglyProminent;0,0818181818181818;0,000743801652892562;NonReciprocal;0;0
33;NonProminent;0;0;NonReciprocal;0;0
34;StronglyProminent;0,223214285714286;0,00199298469387755;NonReciprocal;0;0
35;StronglyProminent;0,139130434782609;0,00120982986767486;NonReciprocal;0;0
36;StronglyProminent;0,460431654676259;0,00331245794731122;NonReciprocal;0;0
37;StronglyProminent;0,0144927536231884;0,000210039907582441;NonReciprocal;0;0
38;NonProminent;0;0;NonReciprocal;0;0
39;StronglyProminent;0,304878048780488;0,0037180249851279;NonReciprocal;0;0
40;StronglyProminent;0,357664233576642;0,00261068783632586;NonReciprocal;0;0
41;StronglyProminent;0,0138888888888889;0,000192901234567901;NonReciprocal;0;0
42;StronglyProminent;0,0789473684210526;0,000692520775623269;NonReciprocal;0;0
43;StronglyProminent;0,0113636363636364;0,000129132231404959;NonReciprocal;0;0
44;StronglyProminent;0,99009900990099;0,00980296049406921;NonReciprocal;0;0
45;StronglyProminent;0,510416666666667;0,00531684027777778;NonReciprocal;0;0
46;StronglyProminent;0,5;0,00390625;NonReciprocal;0;0
47;StronglyProminent;0,445454545454545;0,0040495867768595;NonReciprocal;0;0
48;StronglyProminent;0,28735632183908;0,00330294622803541;NonReciprocal;0;0
49;NonProminent;0;0;NonReciprocal;0;0
50;NonProminent;0;0;NonReciprocal;0;0
51;StronglyProminent;1,11627906976744;0,00865332612222823;NonReciprocal;0;0
52;StronglyProminent;0,174825174825175;0,00122255367010612;NonReciprocal;0;0
53;StronglyProminent;0,01;0,0001;NonReciprocal;0;0
54;StronglyProminent;0,012987012987013;0,000168662506324844;NonReciprocal;0;0
55;StronglyProminent;0,129032258064516;0,00104058272632674;NonReciprocal;0;0
56;StronglyProminent;0,0740740740740741;0,00137174211248285;NonReciprocal;0;0
57;StronglyProminent;0,35;0,0025;NonReciprocal;0;0
58;StronglyProminent;0,0121951219512195;0,000148720999405116;NonReciprocal;0;0
59;NonProminent;0;0;NonReciprocal;0;0
60;NonProminent;0;0;NonReciprocal;0;0
61;StronglyProminent;0,342465753424658;0,00469131169074873;NonReciprocal;0;0
62;StronglyProminent;0,503937007874016;0,00396800793601587;NonReciprocal;0;0
63;StronglyProminent;0,115107913669065;0,000828114486827804;NonReciprocal;0;0
64;StronglyProminent;0,0703125;0,00054931640625;NonReciprocal;0;0
65;StronglyProminent;0,0697674418604651;0,000540832882639265;NonReciprocal;0;0
66;NonProminent;0;0;NonReciprocal;0;0
67;StronglyProminent;0,0103092783505155;0,000106281220108407;NonReciprocal;0;0
68;StronglyProminent;0,193798449612403;0,00150231356288685;NonReciprocal;0;0
69;NonProminent;0;0;NonReciprocal;0;0
70;StronglyProminent;0,0377358490566038;0,000355998576005696;NonReciprocal;0;0
71;StronglyProminent;0,036697247706422;0,000336671997306624;NonReciprocal;0;0
72;WeaklyProminent;0,0833333333333333;0,00925925925925926;NonReciprocal;0;0
73;NonProminent;0;0;NonReciprocal;0;0
74;StronglyProminent;0,0285714285714286;0,000204081632653061;NonReciprocal;0;0
75;StronglyProminent;0,0689655172413793;0,00118906064209275;NonReciprocal;0;0
76;StronglyProminent;0,116883116883117;0,0015179625569236;NonReciprocal;0;0
